feature_group,model,num_features,train_rows,val_rows,test_rows,val_accuracy,val_precision,val_recall,val_f1,features
market_core,LogisticRegression,4,503,252,113,0.5595238095238095,0.5674418604651162,0.8714285714285714,0.6873239436619718,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d"
all_selected,RandomForest,38,503,252,113,0.5357142857142857,0.5539906103286385,0.8428571428571429,0.6685552407932012,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, Lufthansa_Kurs_return_5d, Ryanair_Kurs_return_5d, EasyJet_Kurs_return_5d, Air France-KLM_Kurs_return_5d, Booking_Kurs_return_5d, Expedia_Kurs_return_5d, Airbnb_Kurs_return_5d, Marriott_Hotels_Kurs_return_5d, Hilton_Hotels_Kurs_return_5d, vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday, Mallorca, wellness, airbnb, hotel, camping, Inflation_Gesamt, Inflation_Restaurants_Hotels, Inflation_Transport, ECDC_Europa_Inzidenz, CentralEurope_Temp, HolidayDestination_Temp, CentralEurope_Sunshine, HolidayDestination_Sunshine, CentralEurope_Precipitation, HolidayDestination_Precipitation, EUR_USD_Kurs_return_5d, EUR_CHF_Kurs_return_5d, EUR_GPB_Kurs_return_5d, EUR_TRY_Kurs_return_5d"
macro_health_weather,RandomForest,10,503,252,113,0.5238095238095238,0.545045045045045,0.8642857142857143,0.6685082872928176,"Inflation_Gesamt, Inflation_Restaurants_Hotels, Inflation_Transport, ECDC_Europa_Inzidenz, CentralEurope_Temp, HolidayDestination_Temp, CentralEurope_Sunshine, HolidayDestination_Sunshine, CentralEurope_Precipitation, HolidayDestination_Precipitation"
search_trends_sentiment,RandomForest,5,503,252,113,0.5515873015873016,0.5699481865284974,0.7857142857142857,0.6606606606606606,"Mallorca, wellness, airbnb, hotel, camping"
market_plus_seasonal,LogisticRegression,10,503,252,113,0.5476190476190477,0.5670103092783505,0.7857142857142857,0.6586826347305389,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday"
seasonal,LogisticRegression,6,503,252,113,0.5317460317460317,0.555,0.7928571428571428,0.6529411764705882,"vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday"
search_trends_sentiment,LogisticRegression,5,503,252,113,0.49603174603174605,0.5305164319248826,0.8071428571428572,0.6402266288951841,"Mallorca, wellness, airbnb, hotel, camping"
currency,LogisticRegression,4,503,252,113,0.4523809523809524,0.504950495049505,0.7285714285714285,0.5964912280701754,"EUR_USD_Kurs_return_5d, EUR_CHF_Kurs_return_5d, EUR_GPB_Kurs_return_5d, EUR_TRY_Kurs_return_5d"
seasonal,RandomForest,6,503,252,113,0.5555555555555556,0.6029411764705882,0.5857142857142857,0.5942028985507246,"vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday"
macro_health_weather,LogisticRegression,10,503,252,113,0.4603174603174603,0.510989010989011,0.6642857142857143,0.577639751552795,"Inflation_Gesamt, Inflation_Restaurants_Hotels, Inflation_Transport, ECDC_Europa_Inzidenz, CentralEurope_Temp, HolidayDestination_Temp, CentralEurope_Sunshine, HolidayDestination_Sunshine, CentralEurope_Precipitation, HolidayDestination_Precipitation"
market_plus_seasonal,RandomForest,10,503,252,113,0.5952380952380952,0.6979166666666666,0.4785714285714286,0.5677966101694916,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday"
market_plus_tourism,RandomForest,13,503,252,113,0.5476190476190477,0.6226415094339622,0.4714285714285714,0.5365853658536586,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, Lufthansa_Kurs_return_5d, Ryanair_Kurs_return_5d, EasyJet_Kurs_return_5d, Air France-KLM_Kurs_return_5d, Booking_Kurs_return_5d, Expedia_Kurs_return_5d, Airbnb_Kurs_return_5d, Marriott_Hotels_Kurs_return_5d, Hilton_Hotels_Kurs_return_5d"
tourism_stocks,RandomForest,9,503,252,113,0.5396825396825397,0.6111111111111112,0.4714285714285714,0.532258064516129,"Lufthansa_Kurs_return_5d, Ryanair_Kurs_return_5d, EasyJet_Kurs_return_5d, Air France-KLM_Kurs_return_5d, Booking_Kurs_return_5d, Expedia_Kurs_return_5d, Airbnb_Kurs_return_5d, Marriott_Hotels_Kurs_return_5d, Hilton_Hotels_Kurs_return_5d"
market_tourism_seasonal,RandomForest,19,503,252,113,0.5357142857142857,0.6055045871559633,0.4714285714285714,0.5301204819277109,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, Lufthansa_Kurs_return_5d, Ryanair_Kurs_return_5d, EasyJet_Kurs_return_5d, Air France-KLM_Kurs_return_5d, Booking_Kurs_return_5d, Expedia_Kurs_return_5d, Airbnb_Kurs_return_5d, Marriott_Hotels_Kurs_return_5d, Hilton_Hotels_Kurs_return_5d, vacation_christmas_block, vacation_easter_block, vacation_summer_wave, vacation_autumn_wave, vacation_winter_ski_wave, holiday"
market_plus_tourism,LogisticRegression,13,503,252,113,0.4722222222222222,0.5251798561151079,0.5214285714285715,0.5232974910394266,"DAX_Kurs_return_5d, VIX_Kurs_return_5d, BrentOil_Kurs_return_5d, WTIOil_Kurs_return_5d, Lufthansa_Kurs_return_5d, Ryanair_Kurs_return_5d, EasyJet_Kurs_return_5d, Air France-KLM_Kurs_return_5d, Booking_Kurs_return_5d, Expedia_Kurs_return_5d, Airbnb_Kurs_return_5d, Marriott_Hotels_Kurs_return_5d, Hilton_Hotels_Kurs_return_5d"
