Datum,EXV9_ETF_Kurs,DAX_Kurs,VIX_Kurs,BrentOil_Kurs,WTIOil_Kurs,EUR_USD_Kurs,EUR_CHF_Kurs,EUR_GPB_Kurs,EUR_TRY_Kurs,Lufthansa_Kurs,Ryanair_Kurs,EasyJet_Kurs,Air France-KLM_Kurs,Booking_Kurs,Expedia_Kurs,Uber_Kurs,Airbnb_Kurs,PrimeEnergyOil_Gas_Kurs,Marriott_Hotels_Kurs,Hilton_Hotels_Kurs,AWAY-ETF_Kurs,News_Sentiment,Mallorca,wellness,airbnb,hotel,camping,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday,Inflation_Gesamt,Inflation_Restaurants_Hotels,Inflation_Transport,ECDC_Europa_Inzidenz,CentralEurope_Temp,HolidayDestination_Temp,CentralEurope_Sunshine,HolidayDestination_Sunshine,CentralEurope_Precipitation,HolidayDestination_Precipitation,EXV9_ETF_Kurs_return_1d,EXV9_ETF_Kurs_return_5d,DAX_Kurs_return_1d,DAX_Kurs_return_5d,VIX_Kurs_return_1d,VIX_Kurs_return_5d,BrentOil_Kurs_return_1d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_1d,WTIOil_Kurs_return_5d,EUR_USD_Kurs_return_1d,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_1d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_1d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_1d,EUR_TRY_Kurs_return_5d,Lufthansa_Kurs_return_1d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_1d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_1d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_1d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_1d,Booking_Kurs_return_5d,Expedia_Kurs_return_1d,Expedia_Kurs_return_5d,Uber_Kurs_return_1d,Uber_Kurs_return_5d,Airbnb_Kurs_return_1d,Airbnb_Kurs_return_5d,PrimeEnergyOil_Gas_Kurs_return_1d,PrimeEnergyOil_Gas_Kurs_return_5d,Marriott_Hotels_Kurs_return_1d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_1d,Hilton_Hotels_Kurs_return_5d,target_return_5d,target_trend_5d
2023-01-10,18.70,14774.60,20.58,80.10,75.12,1.07,0.99,0.88,20.11,7.33,34.57,392.37,13.72,87.21,93.48,28.04,88.54,38.56,148.04,128.17,17.64,,2.00,3.00,10.00,78.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,747,5.50,9.40,2.60,8.20,2.80,1.30,-0.05,7.13,-0.12,4.18,-6.33,-10.13,0.56,-2.44,0.66,-2.35,0.72,0.52,0.08,0.17,0.14,-0.50,0.55,0.48,-0.68,5.22,2.52,21.10,0.95,18.97,-0.83,7.90,0.57,9.29,0.93,7.94,2.34,10.57,-0.78,4.29,1.32,7.77,0.41,3.66,0.29,3.54,2.07,1
2023-01-11,18.63,14947.91,21.09,82.67,77.41,1.07,0.99,0.88,20.14,7.37,34.00,392.37,13.73,87.36,98.02,28.35,94.44,38.98,153.17,133.10,17.68,,2.00,3.00,10.00,78.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,747,6.80,10.00,3.80,5.20,5.00,13.20,-0.38,4.16,1.17,3.15,2.48,-4.18,3.21,6.21,3.05,6.27,0.05,1.82,0.20,0.33,0.32,0.29,0.15,2.08,0.55,2.65,-1.64,7.93,0.00,10.69,0.07,3.35,0.17,5.42,4.86,9.07,1.11,9.42,6.66,6.45,1.10,6.12,3.47,5.75,3.85,5.16,3.38,1
2023-01-12,18.91,15058.30,18.83,84.03,78.39,1.08,1.00,0.89,20.21,7.49,35.24,417.95,14.19,88.62,101.80,29.03,98.49,39.34,154.64,133.66,17.99,,2.00,3.00,10.00,78.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,747,8.60,8.80,2.20,7.00,6.80,14.00,1.51,5.02,0.74,4.31,-10.72,-16.16,1.65,6.79,1.27,6.41,0.25,1.51,1.17,1.63,0.20,0.66,0.36,1.70,1.62,2.53,3.66,9.02,6.52,11.34,3.31,3.77,1.44,5.21,3.85,10.82,2.40,13.62,4.29,12.29,0.94,7.14,0.96,7.46,0.42,6.43,2.32,1
2023-01-13,18.99,15086.52,18.35,85.28,79.86,1.09,1.01,0.89,20.39,7.68,35.45,431.04,15.03,90.37,104.79,29.44,100.37,39.68,156.37,135.52,18.35,,2.00,3.00,10.00,78.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,747,8.00,9.00,4.90,5.30,2.30,2.60,0.39,3.75,0.19,3.26,-2.55,-13.16,1.49,8.54,1.88,8.26,0.88,3.21,0.50,2.25,0.40,0.63,0.87,3.24,2.49,5.28,0.58,6.44,3.13,15.88,5.99,9.66,1.97,5.60,2.94,12.73,1.41,11.52,1.91,13.39,0.85,5.34,1.12,5.48,1.39,5.09,3.24,1
2023-01-16,18.94,15134.04,18.35,85.28,79.86,1.08,1.00,0.89,20.33,7.72,35.45,441.64,15.44,90.37,104.79,29.44,100.37,39.68,156.37,135.52,18.35,,3.00,3.00,10.00,75.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,671,3.80,10.10,4.30,6.80,4.30,1.50,-0.25,1.22,0.31,2.31,0.00,-16.48,0.00,7.07,0.00,7.01,-0.33,1.58,-0.39,1.56,-0.40,0.66,-0.27,1.66,0.53,4.56,0.00,5.14,2.46,13.63,2.66,11.56,0.00,4.21,0.00,13.14,0.00,7.45,0.00,12.47,0.00,4.27,0.00,6.06,0.00,6.04,3.72,1
2023-01-17,19.09,15187.07,19.36,85.92,80.18,1.08,1.00,0.89,20.34,7.71,36.07,435.64,15.56,91.65,105.24,29.20,101.27,39.65,155.61,134.84,18.30,,3.00,3.00,10.00,75.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,671,2.20,11.60,5.10,7.50,1.60,4.60,0.79,2.07,0.35,2.79,5.50,-5.93,0.75,7.27,0.40,6.74,0.05,0.90,-0.07,1.41,0.21,0.73,0.03,1.13,-0.03,5.24,1.75,4.34,-1.36,11.03,0.81,13.41,1.42,5.09,0.43,12.58,-0.82,4.14,0.90,14.38,-0.07,2.84,-0.49,5.11,-0.50,5.20,4.43,1
2023-01-18,19.26,15181.80,20.34,84.98,79.48,1.08,0.99,0.88,20.23,8.11,35.14,440.04,15.76,90.17,102.60,28.96,101.11,39.04,154.45,133.19,18.29,,3.00,3.00,10.00,75.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,671,1.10,8.90,3.80,7.30,2.70,5.00,0.90,3.38,-0.03,1.56,5.06,-3.56,-1.09,2.79,-0.87,2.67,-0.34,0.51,-0.77,0.42,-1.00,-0.60,-0.51,0.47,5.17,10.07,-2.58,3.35,1.01,12.15,1.29,14.79,-1.61,3.22,-2.52,4.67,-0.82,2.15,-0.16,7.06,-1.54,0.15,-0.75,0.83,-1.22,0.07,3.20,1
2023-01-19,19.35,14920.36,20.52,86.16,80.33,1.08,0.99,0.87,20.26,8.19,35.55,435.84,15.58,90.92,105.76,29.03,99.10,39.01,155.65,133.72,18.47,,3.00,3.00,10.00,75.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,671,0.60,8.20,5.00,8.40,1.70,0.60,0.46,2.32,-1.72,-0.92,0.88,8.98,1.39,2.53,1.07,2.47,0.04,0.30,-0.58,-1.31,-0.43,-1.23,0.13,0.24,0.99,9.40,1.18,0.87,-0.95,4.28,-1.14,9.83,0.83,2.60,3.08,3.89,0.24,0.00,-1.99,0.62,-0.08,-0.85,0.78,0.65,0.39,0.04,2.70,1
2023-01-20,19.60,15033.56,19.85,87.63,81.31,1.08,0.99,0.87,20.35,8.40,35.88,449.73,16.07,92.05,109.94,30.36,101.28,39.96,161.33,137.34,19.02,,3.00,3.00,10.00,75.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,671,-0.40,8.90,4.40,6.60,3.50,1.30,1.30,3.24,0.76,-0.35,-3.27,8.17,1.71,2.76,1.22,1.82,0.33,-0.24,0.32,-1.48,-0.04,-1.65,0.44,-0.19,2.46,9.36,0.92,1.21,3.19,4.34,3.11,6.85,1.25,1.87,3.95,4.91,4.58,3.13,2.20,0.91,2.43,0.70,3.65,3.17,2.71,1.34,1.29,1
2023-01-23,19.65,15102.95,19.81,88.19,81.62,1.09,1.00,0.88,20.42,8.41,36.29,449.73,16.23,94.30,114.31,30.53,105.22,40.28,163.37,138.61,19.11,,3.00,3.00,10.00,74.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,121.25,123.35,124.58,643,1.30,5.60,1.30,8.40,0.00,1.00,0.21,3.72,0.46,-0.21,-0.20,7.96,0.64,3.41,0.38,2.20,0.29,0.37,0.74,-0.36,0.18,-1.08,0.34,0.43,0.21,9.02,1.15,2.38,0.00,1.83,1.03,5.15,2.44,4.36,3.98,9.09,0.56,3.70,3.89,4.83,0.81,1.52,1.26,4.48,0.92,2.28,-0.14,0
