Datum,EXV9_ETF_Kurs_return_1d,EXV9_ETF_Kurs_return_5d,DAX_Kurs_return_1d,DAX_Kurs_return_5d,VIX_Kurs_return_1d,VIX_Kurs_return_5d,BrentOil_Kurs_return_1d,BrentOil_Kurs_return_5d,WTIOil_Kurs_return_1d,WTIOil_Kurs_return_5d,EUR_USD_Kurs_return_1d,EUR_USD_Kurs_return_5d,EUR_CHF_Kurs_return_1d,EUR_CHF_Kurs_return_5d,EUR_GPB_Kurs_return_1d,EUR_GPB_Kurs_return_5d,EUR_TRY_Kurs_return_1d,EUR_TRY_Kurs_return_5d,Lufthansa_Kurs_return_1d,Lufthansa_Kurs_return_5d,Ryanair_Kurs_return_1d,Ryanair_Kurs_return_5d,EasyJet_Kurs_return_1d,EasyJet_Kurs_return_5d,Air France-KLM_Kurs_return_1d,Air France-KLM_Kurs_return_5d,Booking_Kurs_return_1d,Booking_Kurs_return_5d,Expedia_Kurs_return_1d,Expedia_Kurs_return_5d,Uber_Kurs_return_1d,Uber_Kurs_return_5d,Airbnb_Kurs_return_1d,Airbnb_Kurs_return_5d,PrimeEnergyOil_Gas_Kurs_return_1d,PrimeEnergyOil_Gas_Kurs_return_5d,Marriott_Hotels_Kurs_return_1d,Marriott_Hotels_Kurs_return_5d,Hilton_Hotels_Kurs_return_1d,Hilton_Hotels_Kurs_return_5d
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,0.99,,0.80,,,,,,,,-0.30,,-0.11,,0.11,,0.30,,1.02,,,,,,1.52,,,,,,,,,,,,,,,
2023-01-04,2.47,,2.18,,-3.89,,-5.19,,-5.32,,-1.23,,0.04,,-0.48,,-1.42,,3.07,,10.36,,7.48,,4.48,,3.85,,3.78,,2.17,,4.50,,2.67,,1.43,,2.25,
2023-01-05,0.67,,-0.38,,2.04,,1.09,,1.14,,0.56,,-0.12,,-0.16,,0.73,,1.73,,2.63,,5.89,,2.90,,1.63,,2.21,,-1.39,,-1.14,,-0.03,,-0.65,,-0.78,
2023-01-06,1.62,,1.20,,-5.92,,-0.15,,0.14,,-0.79,,-0.11,,0.43,,-0.64,,-0.18,,3.01,,-0.91,,0.29,,1.60,,1.19,,3.33,,0.92,,2.58,,3.02,,2.69,
2023-01-09,2.25,8.25,1.25,5.14,3.98,,1.37,,1.17,,1.27,-0.50,0.28,-0.03,-0.43,-0.53,1.28,0.22,1.21,7.01,1.24,,4.49,,0.91,10.46,1.34,,-0.36,,3.79,,0.81,,1.02,,-0.55,,-0.90,
2023-01-10,-0.05,7.13,-0.12,4.18,-6.33,-10.13,0.56,-2.44,0.66,-2.35,0.72,0.52,0.08,0.17,0.14,-0.50,0.55,0.48,-0.68,5.22,2.52,21.10,0.95,18.97,-0.83,7.90,0.57,9.29,0.93,7.94,2.34,10.57,-0.78,4.29,1.32,7.77,0.41,3.66,0.29,3.54
2023-01-11,-0.38,4.16,1.17,3.15,2.48,-4.18,3.21,6.21,3.05,6.27,0.05,1.82,0.20,0.33,0.32,0.29,0.15,2.08,0.55,2.65,-1.64,7.93,0.00,10.69,0.07,3.35,0.17,5.42,4.86,9.07,1.11,9.42,6.66,6.45,1.10,6.12,3.47,5.75,3.85,5.16
2023-01-12,1.51,5.02,0.74,4.31,-10.72,-16.16,1.65,6.79,1.27,6.41,0.25,1.51,1.17,1.63,0.20,0.66,0.36,1.70,1.62,2.53,3.66,9.02,6.52,11.34,3.31,3.77,1.44,5.21,3.85,10.82,2.40,13.62,4.29,12.29,0.94,7.14,0.96,7.46,0.42,6.43
2023-01-13,0.39,3.75,0.19,3.26,-2.55,-13.16,1.49,8.54,1.88,8.26,0.88,3.21,0.50,2.25,0.40,0.63,0.87,3.24,2.49,5.28,0.58,6.44,3.13,15.88,5.99,9.66,1.97,5.60,2.94,12.73,1.41,11.52,1.91,13.39,0.85,5.34,1.12,5.48,1.39,5.09
2023-01-16,-0.25,1.22,0.31,2.31,0.00,-16.48,0.00,7.07,0.00,7.01,-0.33,1.58,-0.39,1.56,-0.40,0.66,-0.27,1.66,0.53,4.56,0.00,5.14,2.46,13.63,2.66,11.56,0.00,4.21,0.00,13.14,0.00,7.45,0.00,12.47,0.00,4.27,0.00,6.06,0.00,6.04
