survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2026-W14,ILIconsultationrate,0-4,857.6
primary care syndromic,Austria,2026-W14,ILIconsultationrate,15-64,3801.8
primary care syndromic,Austria,2026-W14,ILIconsultationrate,5-14,79.2
primary care syndromic,Austria,2026-W14,ILIconsultationrate,65+,0.0
primary care syndromic,Austria,2026-W14,ILIconsultationrate,total,1748.4
primary care syndromic,Austria,2026-W13,ILIconsultationrate,0-4,2916.0
primary care syndromic,Austria,2026-W13,ILIconsultationrate,15-64,2764.5
primary care syndromic,Austria,2026-W13,ILIconsultationrate,5-14,871.3
primary care syndromic,Austria,2026-W13,ILIconsultationrate,65+,852.4
primary care syndromic,Austria,2026-W13,ILIconsultationrate,total,2163.4
primary care syndromic,Austria,2026-W12,ILIconsultationrate,0-4,1244.1
primary care syndromic,Austria,2026-W12,ILIconsultationrate,15-64,2567.1
primary care syndromic,Austria,2026-W12,ILIconsultationrate,5-14,396.0
primary care syndromic,Austria,2026-W12,ILIconsultationrate,65+,692.6
primary care syndromic,Austria,2026-W12,ILIconsultationrate,total,1661.7
primary care syndromic,Austria,2026-W11,ILIconsultationrate,0-4,1715.3
primary care syndromic,Austria,2026-W11,ILIconsultationrate,15-64,3603.8
primary care syndromic,Austria,2026-W11,ILIconsultationrate,5-14,831.7
primary care syndromic,Austria,2026-W11,ILIconsultationrate,65+,719.2
primary care syndromic,Austria,2026-W11,ILIconsultationrate,total,2581.8
primary care syndromic,Austria,2026-W10,ILIconsultationrate,0-4,2172.7
primary care syndromic,Austria,2026-W10,ILIconsultationrate,15-64,3023.6
primary care syndromic,Austria,2026-W10,ILIconsultationrate,5-14,554.4
primary care syndromic,Austria,2026-W10,ILIconsultationrate,65+,746.0
primary care syndromic,Austria,2026-W10,ILIconsultationrate,total,2075.9
primary care syndromic,Austria,2026-W09,ILIconsultationrate,0-4,1647.2
primary care syndromic,Austria,2026-W09,ILIconsultationrate,15-64,2858.0
primary care syndromic,Austria,2026-W09,ILIconsultationrate,5-14,586.1
primary care syndromic,Austria,2026-W09,ILIconsultationrate,65+,1165.5
primary care syndromic,Austria,2026-W09,ILIconsultationrate,total,1941.0
primary care syndromic,Austria,2026-W08,ILIconsultationrate,0-4,1801.8
primary care syndromic,Austria,2026-W08,ILIconsultationrate,15-64,3685.8
primary care syndromic,Austria,2026-W08,ILIconsultationrate,5-14,514.7
