Meldungen,Saison,Erkrankung,Altersgruppe,Region,Kalenderwoche,Inzidenz
321,2022/23,ARE,0-4,Bundesweit,2023-W01,8245
1381,2022/23,ARE,5-14,Bundesweit,2023-W01,3521
1303,2022/23,ARE,15-34,Bundesweit,2023-W01,4876
3981,2022/23,ARE,35-59,Bundesweit,2023-W01,5121
2343,2022/23,ARE,60+,Bundesweit,2023-W01,3915
2657,2022/23,ARE,00+,Sueden,2023-W01,5100
3282,2022/23,ARE,00+,Mitte (West),2023-W01,4688
1708,2022/23,ARE,00+,Norden (West),2023-W01,4258
1682,2022/23,ARE,00+,Osten,2023-W01,4525
7627,2022/23,ARE,15+,Bundesweit,2023-W01,4643
9329,2022/23,ARE,00+,Bundesweit,2023-W01,4697
1702,2022/23,ARE,0-14,Bundesweit,2023-W01,5031
321,2022/23,ILI,0-4,Bundesweit,2023-W01,3566
1381,2022/23,ILI,5-14,Bundesweit,2023-W01,1479
1303,2022/23,ILI,15-34,Bundesweit,2023-W01,1235
3981,2022/23,ILI,35-59,Bundesweit,2023-W01,955
2343,2022/23,ILI,60+,Bundesweit,2023-W01,643
2657,2022/23,ILI,00+,Sueden,2023-W01,1545
3282,2022/23,ILI,00+,Mitte (West),2023-W01,1010
1708,2022/23,ILI,00+,Norden (West),2023-W01,1035
1682,2022/23,ILI,00+,Osten,2023-W01,613
7627,2022/23,ILI,15+,Bundesweit,2023-W01,923
9329,2022/23,ILI,00+,Bundesweit,2023-W01,1095
1702,2022/23,ILI,0-14,Bundesweit,2023-W01,2146
320,2022/23,ARE,0-4,Bundesweit,2023-W02,14695
1379,2022/23,ARE,5-14,Bundesweit,2023-W02,8556
1306,2022/23,ARE,15-34,Bundesweit,2023-W02,4234
4000,2022/23,ARE,35-59,Bundesweit,2023-W02,4447
2362,2022/23,ARE,60+,Bundesweit,2023-W02,2526
2668,2022/23,ARE,00+,Sueden,2023-W02,5052
3324,2022/23,ARE,00+,Mitte (West),2023-W02,5038
1700,2022/23,ARE,00+,Norden (West),2023-W02,3540
1675,2022/23,ARE,00+,Osten,2023-W02,4585
7668,2022/23,ARE,15+,Bundesweit,2023-W02,3732
9367,2022/23,ARE,00+,Bundesweit,2023-W02,4689
1699,2022/23,ARE,0-14,Bundesweit,2023-W02,10527
320,2022/23,ILI,0-4,Bundesweit,2023-W02,4154
1379,2022/23,ILI,5-14,Bundesweit,2023-W02,3123
1306,2022/23,ILI,15-34,Bundesweit,2023-W02,938
4000,2022/23,ILI,35-59,Bundesweit,2023-W02,584
2362,2022/23,ILI,60+,Bundesweit,2023-W02,572
2668,2022/23,ILI,00+,Sueden,2023-W02,1145
3324,2022/23,ILI,00+,Mitte (West),2023-W02,1164
1700,2022/23,ILI,00+,Norden (West),2023-W02,756
1675,2022/23,ILI,00+,Osten,2023-W02,1060
7668,2022/23,ILI,15+,Bundesweit,2023-W02,674
9367,2022/23,ILI,00+,Bundesweit,2023-W02,1066
1699,2022/23,ILI,0-14,Bundesweit,2023-W02,3454
315,2022/23,ARE,0-4,Bundesweit,2023-W03,27913
1350,2022/23,ARE,5-14,Bundesweit,2023-W03,13973
1306,2022/23,ARE,15-34,Bundesweit,2023-W03,5853
3976,2022/23,ARE,35-59,Bundesweit,2023-W03,4670
2379,2022/23,ARE,60+,Bundesweit,2023-W03,3159
2622,2022/23,ARE,00+,Sueden,2023-W03,7346
3335,2022/23,ARE,00+,Mitte (West),2023-W03,6030
1699,2022/23,ARE,00+,Norden (West),2023-W03,5749
1670,2022/23,ARE,00+,Osten,2023-W03,6333
7661,2022/23,ARE,15+,Bundesweit,2023-W03,4466
9326,2022/23,ARE,00+,Bundesweit,2023-W03,6404
1665,2022/23,ARE,0-14,Bundesweit,2023-W03,18428
315,2022/23,ILI,0-4,Bundesweit,2023-W03,10120
1350,2022/23,ILI,5-14,Bundesweit,2023-W03,3148
1306,2022/23,ILI,15-34,Bundesweit,2023-W03,764
3976,2022/23,ILI,35-59,Bundesweit,2023-W03,687
2379,2022/23,ILI,60+,Bundesweit,2023-W03,446
2622,2022/23,ILI,00+,Sueden,2023-W03,1502
3335,2022/23,ILI,00+,Mitte (West),2023-W03,1496
1699,2022/23,ILI,00+,Norden (West),2023-W03,801
1670,2022/23,ILI,00+,Osten,2023-W03,1009
7661,2022/23,ILI,15+,Bundesweit,2023-W03,625
9326,2022/23,ILI,00+,Bundesweit,2023-W03,1284
1665,2022/23,ILI,0-14,Bundesweit,2023-W03,5376
296,2022/23,ARE,0-4,Bundesweit,2023-W04,21414
1314,2022/23,ARE,5-14,Bundesweit,2023-W04,16879
1261,2022/23,ARE,15-34,Bundesweit,2023-W04,8818
3943,2022/23,ARE,35-59,Bundesweit,2023-W04,7058
2355,2022/23,ARE,60+,Bundesweit,2023-W04,4128
2561,2022/23,ARE,00+,Sueden,2023-W04,7236
3279,2022/23,ARE,00+,Mitte (West),2023-W04,8112
1683,2022/23,ARE,00+,Norden (West),2023-W04,8499
1646,2022/23,ARE,00+,Osten,2023-W04,9173
7559,2022/23,ARE,15+,Bundesweit,2023-W04,6514
9169,2022/23,ARE,00+,Bundesweit,2023-W04,8128
1610,2022/23,ARE,0-14,Bundesweit,2023-W04,18311
296,2022/23,ILI,0-4,Bundesweit,2023-W04,8289
1314,2022/23,ILI,5-14,Bundesweit,2023-W04,3576
1261,2022/23,ILI,15-34,Bundesweit,2023-W04,1981
3943,2022/23,ILI,35-59,Bundesweit,2023-W04,1101
2355,2022/23,ILI,60+,Bundesweit,2023-W04,721
2561,2022/23,ILI,00+,Sueden,2023-W04,1964
3279,2022/23,ILI,00+,Mitte (West),2023-W04,1526
1683,2022/23,ILI,00+,Norden (West),2023-W04,2002
1646,2022/23,ILI,00+,Osten,2023-W04,1501
7559,2022/23,ILI,15+,Bundesweit,2023-W04,1203
9169,2022/23,ILI,00+,Bundesweit,2023-W04,1731
1610,2022/23,ILI,0-14,Bundesweit,2023-W04,5065
303,2022/23,ARE,0-4,Bundesweit,2023-W05,19180
1282,2022/23,ARE,5-14,Bundesweit,2023-W05,13519
1235,2022/23,ARE,15-34,Bundesweit,2023-W05,7960
3881,2022/23,ARE,35-59,Bundesweit,2023-W05,7393
2318,2022/23,ARE,60+,Bundesweit,2023-W05,5524
2531,2022/23,ARE,00+,Sueden,2023-W05,8668
3232,2022/23,ARE,00+,Mitte (West),2023-W05,8021
1637,2022/23,ARE,00+,Norden (West),2023-W05,7450
1619,2022/23,ARE,00+,Osten,2023-W05,7727
7434,2022/23,ARE,15+,Bundesweit,2023-W05,6898
9019,2022/23,ARE,00+,Bundesweit,2023-W05,8047
1585,2022/23,ARE,0-14,Bundesweit,2023-W05,15302
303,2022/23,ILI,0-4,Bundesweit,2023-W05,7375
1282,2022/23,ILI,5-14,Bundesweit,2023-W05,3326
1235,2022/23,ILI,15-34,Bundesweit,2023-W05,2059
3881,2022/23,ILI,35-59,Bundesweit,2023-W05,1331
2318,2022/23,ILI,60+,Bundesweit,2023-W05,797
2531,2022/23,ILI,00+,Sueden,2023-W05,1926
3232,2022/23,ILI,00+,Mitte (West),2023-W05,2020
1637,2022/23,ILI,00+,Norden (West),2023-W05,1437
1619,2022/23,ILI,00+,Osten,2023-W05,1447
7434,2022/23,ILI,15+,Bundesweit,2023-W05,1339
9019,2022/23,ILI,00+,Bundesweit,2023-W05,1785
1585,2022/23,ILI,0-14,Bundesweit,2023-W05,4602
302,2022/23,ARE,0-4,Bundesweit,2023-W06,17457
1247,2022/23,ARE,5-14,Bundesweit,2023-W06,12106
1219,2022/23,ARE,15-34,Bundesweit,2023-W06,9389
3813,2022/23,ARE,35-59,Bundesweit,2023-W06,7709
2291,2022/23,ARE,60+,Bundesweit,2023-W06,4193
2493,2022/23,ARE,00+,Sueden,2023-W06,9103
3174,2022/23,ARE,00+,Mitte (West),2023-W06,7871
1616,2022/23,ARE,00+,Norden (West),2023-W06,7149
1589,2022/23,ARE,00+,Osten,2023-W06,6748
7323,2022/23,ARE,15+,Bundesweit,2023-W06,6948
8872,2022/23,ARE,00+,Bundesweit,2023-W06,7885
1549,2022/23,ARE,0-14,Bundesweit,2023-W06,13809
302,2022/23,ILI,0-4,Bundesweit,2023-W06,7894
1247,2022/23,ILI,5-14,Bundesweit,2023-W06,3758
1219,2022/23,ILI,15-34,Bundesweit,2023-W06,2503
3813,2022/23,ILI,35-59,Bundesweit,2023-W06,1959
2291,2022/23,ILI,60+,Bundesweit,2023-W06,777
2493,2022/23,ILI,00+,Sueden,2023-W06,2879
3174,2022/23,ILI,00+,Mitte (West),2023-W06,2195
1616,2022/23,ILI,00+,Norden (West),2023-W06,1778
1589,2022/23,ILI,00+,Osten,2023-W06,1343
7323,2022/23,ILI,15+,Bundesweit,2023-W06,1697
8872,2022/23,ILI,00+,Bundesweit,2023-W06,2159
1549,2022/23,ILI,0-14,Bundesweit,2023-W06,5074
297,2022/23,ARE,0-4,Bundesweit,2023-W07,25538
1287,2022/23,ARE,5-14,Bundesweit,2023-W07,12361
1221,2022/23,ARE,15-34,Bundesweit,2023-W07,9963
3881,2022/23,ARE,35-59,Bundesweit,2023-W07,7543
2321,2022/23,ARE,60+,Bundesweit,2023-W07,4891
2510,2022/23,ARE,00+,Sueden,2023-W07,9039
3224,2022/23,ARE,00+,Mitte (West),2023-W07,8526
1644,2022/23,ARE,00+,Norden (West),2023-W07,8624
1629,2022/23,ARE,00+,Osten,2023-W07,7741
7423,2022/23,ARE,15+,Bundesweit,2023-W07,7271
9007,2022/23,ARE,00+,Bundesweit,2023-W07,8545
1584,2022/23,ARE,0-14,Bundesweit,2023-W07,16505
297,2022/23,ILI,0-4,Bundesweit,2023-W07,12831
1287,2022/23,ILI,5-14,Bundesweit,2023-W07,5616
1221,2022/23,ILI,15-34,Bundesweit,2023-W07,1673
3881,2022/23,ILI,35-59,Bundesweit,2023-W07,1518
2321,2022/23,ILI,60+,Bundesweit,2023-W07,1001
2510,2022/23,ILI,00+,Sueden,2023-W07,2125
3224,2022/23,ILI,00+,Mitte (West),2023-W07,2713
1644,2022/23,ILI,00+,Norden (West),2023-W07,2285
1629,2022/23,ILI,00+,Osten,2023-W07,1649
7423,2022/23,ILI,15+,Bundesweit,2023-W07,1381
9007,2022/23,ILI,00+,Bundesweit,2023-W07,2278
1584,2022/23,ILI,0-14,Bundesweit,2023-W07,7885
307,2022/23,ARE,0-4,Bundesweit,2023-W08,14420
1306,2022/23,ARE,5-14,Bundesweit,2023-W08,11415
1241,2022/23,ARE,15-34,Bundesweit,2023-W08,10656
3918,2022/23,ARE,35-59,Bundesweit,2023-W08,7893
2338,2022/23,ARE,60+,Bundesweit,2023-W08,5123
2545,2022/23,ARE,00+,Sueden,2023-W08,8091
3275,2022/23,ARE,00+,Mitte (West),2023-W08,9202
1641,2022/23,ARE,00+,Norden (West),2023-W08,7115
1649,2022/23,ARE,00+,Osten,2023-W08,8095
7497,2022/23,ARE,15+,Bundesweit,2023-W08,7677
9110,2022/23,ARE,00+,Bundesweit,2023-W08,8316
1613,2022/23,ARE,0-14,Bundesweit,2023-W08,12358
307,2022/23,ILI,0-4,Bundesweit,2023-W08,5866
1306,2022/23,ILI,5-14,Bundesweit,2023-W08,3316
1241,2022/23,ILI,15-34,Bundesweit,2023-W08,2320
3918,2022/23,ILI,35-59,Bundesweit,2023-W08,1952
2338,2022/23,ILI,60+,Bundesweit,2023-W08,1130
2545,2022/23,ILI,00+,Sueden,2023-W08,2268
3275,2022/23,ILI,00+,Mitte (West),2023-W08,2333
1641,2022/23,ILI,00+,Norden (West),2023-W08,1709
1649,2022/23,ILI,00+,Osten,2023-W08,1697
7497,2022/23,ILI,15+,Bundesweit,2023-W08,1767
9110,2022/23,ILI,00+,Bundesweit,2023-W08,2088
1613,2022/23,ILI,0-14,Bundesweit,2023-W08,4116
324,2022/23,ARE,0-4,Bundesweit,2023-W09,17966
1319,2022/23,ARE,5-14,Bundesweit,2023-W09,12318
1236,2022/23,ARE,15-34,Bundesweit,2023-W09,10504
3912,2022/23,ARE,35-59,Bundesweit,2023-W09,7297
2340,2022/23,ARE,60+,Bundesweit,2023-W09,5664
2562,2022/23,ARE,00+,Sueden,2023-W09,7110
3256,2022/23,ARE,00+,Mitte (West),2023-W09,9295
1671,2022/23,ARE,00+,Norden (West),2023-W09,8266
1642,2022/23,ARE,00+,Osten,2023-W09,9347
7488,2022/23,ARE,15+,Bundesweit,2023-W09,7590
9131,2022/23,ARE,00+,Bundesweit,2023-W09,8503
1643,2022/23,ARE,0-14,Bundesweit,2023-W09,14119
324,2022/23,ILI,0-4,Bundesweit,2023-W09,10249
1319,2022/23,ILI,5-14,Bundesweit,2023-W09,4610
1236,2022/23,ILI,15-34,Bundesweit,2023-W09,2335
3912,2022/23,ILI,35-59,Bundesweit,2023-W09,1898
2340,2022/23,ILI,60+,Bundesweit,2023-W09,1300
2562,2022/23,ILI,00+,Sueden,2023-W09,1786
3256,2022/23,ILI,00+,Mitte (West),2023-W09,3075
1671,2022/23,ILI,00+,Norden (West),2023-W09,1680
1642,2022/23,ILI,00+,Osten,2023-W09,3037
7488,2022/23,ILI,15+,Bundesweit,2023-W09,1808
9131,2022/23,ILI,00+,Bundesweit,2023-W09,2452
1643,2022/23,ILI,0-14,Bundesweit,2023-W09,6408
314,2022/23,ARE,0-4,Bundesweit,2023-W10,19842
1293,2022/23,ARE,5-14,Bundesweit,2023-W10,13691
1241,2022/23,ARE,15-34,Bundesweit,2023-W10,8120
3923,2022/23,ARE,35-59,Bundesweit,2023-W10,8376
2343,2022/23,ARE,60+,Bundesweit,2023-W10,4475
2560,2022/23,ARE,00+,Sueden,2023-W10,7798
3235,2022/23,ARE,00+,Mitte (West),2023-W10,7988
1664,2022/23,ARE,00+,Norden (West),2023-W10,8517
1655,2022/23,ARE,00+,Osten,2023-W10,8726
7507,2022/23,ARE,15+,Bundesweit,2023-W10,6968
9114,2022/23,ARE,00+,Bundesweit,2023-W10,8165
1607,2022/23,ARE,0-14,Bundesweit,2023-W10,15643
314,2022/23,ILI,0-4,Bundesweit,2023-W10,9721
1293,2022/23,ILI,5-14,Bundesweit,2023-W10,5745
1241,2022/23,ILI,15-34,Bundesweit,2023-W10,2004
3923,2022/23,ILI,35-59,Bundesweit,2023-W10,1935
2343,2022/23,ILI,60+,Bundesweit,2023-W10,1100
2560,2022/23,ILI,00+,Sueden,2023-W10,1939
3235,2022/23,ILI,00+,Mitte (West),2023-W10,2439
1664,2022/23,ILI,00+,Norden (West),2023-W10,3204
1655,2022/23,ILI,00+,Osten,2023-W10,2249
7507,2022/23,ILI,15+,Bundesweit,2023-W10,1667
9114,2022/23,ILI,00+,Bundesweit,2023-W10,2403
1607,2022/23,ILI,0-14,Bundesweit,2023-W10,7007
301,2022/23,ARE,0-4,Bundesweit,2023-W11,21556
1306,2022/23,ARE,5-14,Bundesweit,2023-W11,12529
1255,2022/23,ARE,15-34,Bundesweit,2023-W11,7381
3918,2022/23,ARE,35-59,Bundesweit,2023-W11,6394
2331,2022/23,ARE,60+,Bundesweit,2023-W11,4532
2563,2022/23,ARE,00+,Sueden,2023-W11,7352
3245,2022/23,ARE,00+,Mitte (West),2023-W11,7792
1655,2022/23,ARE,00+,Norden (West),2023-W11,6415
1648,2022/23,ARE,00+,Osten,2023-W11,7101
7504,2022/23,ARE,15+,Bundesweit,2023-W11,6017
9111,2022/23,ARE,00+,Bundesweit,2023-W11,7294
1607,2022/23,ARE,0-14,Bundesweit,2023-W11,15345
301,2022/23,ILI,0-4,Bundesweit,2023-W11,9717
1306,2022/23,ILI,5-14,Bundesweit,2023-W11,5279
1255,2022/23,ILI,15-34,Bundesweit,2023-W11,2310
3918,2022/23,ILI,35-59,Bundesweit,2023-W11,1438
2331,2022/23,ILI,60+,Bundesweit,2023-W11,1253
2563,2022/23,ILI,00+,Sueden,2023-W11,1876
3245,2022/23,ILI,00+,Mitte (West),2023-W11,2689
1655,2022/23,ILI,00+,Norden (West),2023-W11,2301
1648,2022/23,ILI,00+,Osten,2023-W11,2189
