published;keyword;title;link
2026-05-29;airport strike;Italy General Strike Today: Up To 1,150 Flights Could Be Cancelled, 179,000 Passengers Affected - TravelPirates;https://news.google.com/rss/articles/CBMipwFBVV95cUxQR0hNdlF5ek1ubGJYOHlvZFhEN2lPd2NSWXdHbjdBN0JEXzhJX1BLZ1J3b3gwUlMwMWM0TTJNanV1UHlGRzdsTXNCNlNTQUxWU0ZVcnF1d3hDTkxjcFZnREQ4YXlTb1VMbkE4Wm1zbm0za1RmY3cwb3Q5TlNyOGc2c2JJOHpqUWNZWFpwM19OZVFLNk9CTk1ZN2ZQMVhqUUZkQTBDTThudw?oc=5
2026-05-29;airport strike;Hotels warn airport chaos may worsen - portugal decoded;https://news.google.com/rss/articles/CBMigAFBVV95cUxQTF9kSEN5V2x0b2pucmRsS2V3UkJReWpFcGxldUdBTktnQU9rTnZiLWVKWUdEa2EyWHNuTzZDWTlRbG9Bcm42T3N3WlktLUpldGlYeGJqb0pYb1BDU2Z0VTVRLTVoMVItVERuMDhDdkRTbDNsQ01zSXhPYVdZNXNDeA?oc=5
2026-05-26;airport strike;All the European airport and transport strikes in June 2026 - Time Out Worldwide;https://news.google.com/rss/articles/CBMiugFBVV95cUxOTUdKRUM4VzJWTGdhTVZCOEVtMlpQU3MzX3dwc3c1TTBZZ0kzUVdjemdHT0hkNnJocnQ3RXh0TFB0dE8wdWxROUIwSnhobXZZemJZVTk5WkNyRUpaS0hRMGlSTjFsZS1tSzZtc0VCNEo4ZHNDREpUMVIyaktJZkozUENCQUJkWlFDZU1Dc1dGMkdKcGxkakZqQk90ZERjLVNzM1g5R2RBdzFGTGlQVUEzZFh3d0xweUR2Q1E?oc=5
2026-05-21;airport strike;Airport staff may strike during World Cup and Commonwealth Games - BBC;https://news.google.com/rss/articles/CBMiWkFVX3lxTE9ZM2xfa00yTmJkRkltR250VUplX0prWDRtdmdXU1VUa0JoOVZmdGJyb2d0S0ZabGF5VHVSYTFxRGhxTzRsV0oxYjhQR042YnM3TmpVdXVFTFFYQQ?oc=5
2026-05-29;airport strike;Portugal strikes to hit 500-plus flights and transport networks as travel chaos looms - itij.com;https://news.google.com/rss/articles/CBMisgFBVV95cUxNWVh2SU1qSURhVGU0UmNLVjFFcXRjNmJsNDBLdndSY1ZkLTFIUE1HdTBGMU1FUkNnYVpOb3U3NVRQQWhrSXREZUxKSDRnNEVUdV9iTmFQMzFPZzFZYWQzMW5xejh5VzRUNnBEMWVUbjFMMTBzVm43NHllTk5XTm1PbzNqNmtLODlJQkU2aDRCSGt1S2xBaWplWVZXN2x4UG5uVE9ZRjNNa05uYl80S1VBRzhn?oc=5
2026-05-29;airport strike;Aberdeen airport faces disruption as workers vote on summer strikes - Unite the Union;https://news.google.com/rss/articles/CBMiwAFBVV95cUxPZm5nbU5paW5oUlk0bzNmWllKemphOE9rS3p5dVZvdEVPcEhqZUlCRWVxdHk0QlNpRkJkMFJVQlJvbGdEOUNVM0xfYzVrQTVLM09GVTkwZVNkSTIwWEU2X3Nib2JORkhWYU5hb0ZqbXpjc3dnUDJvUWZGalJYTFZLZGpRaUlZdWJ2VEdIYUdUcjIxdE9zaVV4V2NsNkRjbk95cUZNYndfSW1CUWprUnZGdUlpQk1xSTQtNHVXeWFVdk0?oc=5
2026-05-29;airport strike;Airlines resume some Middle East flights but disruption continues - Reuters;https://news.google.com/rss/articles/CBMitgFBVV95cUxQaWpNWmRIOXgwVXQ5c0RvZEdOSWhzX0h1WVFXNXBON0FsbHZ3NXdVNzI1Z2FBc19wMTZoOFdkMVBDRnhaanhzLU5Vby1Eelk5SzM0SjFEa3FTSVpfQTJRVEs3WWw3dWNYcHN4Zm8wWXptMHRYLWdFYXNFZDdqQ0lYME5kdlUzYjYydkdXNVFOdUZqYWVyc0RQdi10UjdjcVpkVzNMWnp5ZkdKRkhVNUJRUGFUbllqdw?oc=5
2026-05-30;airport strike;Flights paused at Munich Airport after possible drone sighting - Euronews.com;https://news.google.com/rss/articles/CBMisAFBVV95cUxNRXhmejM3a0VYSDl2ZkFucmJLZHRNTXRCRmRlWnQ0VUZXM2wzcFpHX09BbVJQSXRELVRCbkFfMy1EQmVhWEhhczVFZC1sWkphdkowNjE3OE8yVkRwYmhIVUJLQWhDQU8tb2l2V2Z5T3VVVGdFbE1lNFdFWHRwcTB4VnZCYmdBNnRwLTFGYUpUajBSaFdQZlUyRjlrZWhVU0hqdXh4Z0dHb3c1dDJ5QzBzag?oc=5
2026-05-29;airport strike;Protests, transport disruptions hit Italy during nationwide general strike - Anadolu Ajansı;https://news.google.com/rss/articles/CBMiswFBVV95cUxOdHpQWThlbmk2SzRuRjVWeG5lc21VUnU1Tk1WNlJNN0VGSWxsX3FfV29GSTZ2NXR2ekRPV2NDal9zMmN0blRhSk1PelVjdkt5OU5OaHNBdEhkS1A1a1VfZEFLZXVLS2R1S0hnWElSTVhKb1lCU1ZreGdJLU16bFBYYVNMSHFxMjhyZjRRc1hpeExGbEJLU05LQTFmWV9nZFQzMEhwWXU4UC1vZWthTC1TUmVLSQ?oc=5
2026-05-28;airport strike;DHS Secretary Mullin threatens to pull agents from Newark airport over ICE detention center protests - ABC News - Breaking News, Latest News and Videos;https://news.google.com/rss/articles/CBMiqAFBVV95cUxON1lia0M0MU5FQ0J6eU1pU0JqdzNlYU14N25KaHFmXzVWOVN5SGt6X1l3a0ZiZG9tcjQxYzFONE50YU1KaVkzaVlJMXRLaXJtT0w1UUpyeDRxNjQyNWlOWjJhdVdZWEJkV0pxMlFaZENHTWhXelpGVDZHUlJCLTBaRTE5bkQ2Nlp6cGF3M2g0Mk83ZXJIdnJFaGN4QVZHR2NQZkhOMGZEa2bSAa4BQVVfeXFMUHhWZkNVOHFONUNLMU9fV2F1UUM4Vy1NUGQ2bS1FdXk3VDJqQTZ5U3Y4LWdvaG1janZOanhUOC1CTDFLX0dsZlREV2ZMUFE4cHY4Yk5tMWlsQ1dkR2tpQ0xUb1NUZERkd0NKTm04THZ2WUZXVExHcWFLalNlQlAzNk9QNUd4MUpuRGVSM3VicEtFOWhncHBjWjJiRnFNbkVPZnN6WnhQN1FnMUZnUUp3?oc=5
