time,temperature_2m_mean,precipitation_sum,sunshine_duration,city
2023-01-01,14.1,0.0,14188.37,Berlin
2023-01-02,12.0,2.6,11734.26,Berlin
2023-01-03,5.2,0.0,25051.48,Berlin
2023-01-04,6.5,9.7,0.0,Berlin
2023-01-05,7.9,2.5,22014.43,Berlin
2023-01-06,6.6,0.5,2640.35,Berlin
2023-01-07,6.8,0.0,22228.0,Berlin
2023-01-08,6.8,1.3,0.0,Berlin
2023-01-09,5.6,4.1,13123.73,Berlin
2023-01-10,5.1,0.0,14478.33,Berlin
2023-01-11,6.1,7.4,0.0,Berlin
2023-01-12,7.8,4.7,22.09,Berlin
2023-01-13,8.5,2.7,18000.0,Berlin
2023-01-14,7.1,7.6,6915.72,Berlin
2023-01-15,7.0,4.7,8508.7,Berlin
2023-01-16,4.2,0.0,24029.11,Berlin
2023-01-17,2.7,0.7,14400.0,Berlin
2023-01-18,-1.2,1.2,0.0,Berlin
2023-01-19,-1.2,0.0,20826.24,Berlin
2023-01-20,-1.8,0.2,20534.2,Berlin
2023-01-21,0.5,4.9,0.0,Berlin
2023-01-22,1.1,1.5,0.0,Berlin
2023-01-23,0.8,0.0,16812.45,Berlin
2023-01-24,-0.5,0.0,13133.27,Berlin
2023-01-25,0.6,0.0,0.0,Berlin
2023-01-26,-0.5,0.0,0.0,Berlin
2023-01-27,0.9,0.3,0.0,Berlin
2023-01-28,-0.6,0.0,6387.39,Berlin
2023-01-29,0.9,0.2,0.0,Berlin
2023-01-30,3.1,5.9,8079.7,Berlin
2023-01-31,3.5,4.8,0.0,Berlin
2023-02-01,3.7,4.8,4769.19,Berlin
2023-02-02,3.3,0.7,21594.87,Berlin
2023-02-03,5.1,8.6,11963.23,Berlin
2023-02-04,1.1,0.1,25310.49,Berlin
2023-02-05,-3.1,0.0,18165.54,Berlin
2023-02-06,-2.8,0.7,10506.94,Berlin
2023-02-07,-3.8,0.0,32220.68,Berlin
2023-02-08,-3.1,0.0,32335.03,Berlin
2023-02-09,-2.0,0.0,31608.62,Berlin
2023-02-10,1.9,0.0,4068.16,Berlin
2023-02-11,5.5,0.2,0.0,Berlin
2023-02-12,6.5,0.0,0.0,Berlin
2023-02-13,6.1,0.1,0.0,Berlin
2023-02-14,3.3,0.0,24053.97,Berlin
2023-02-15,1.2,0.0,32483.98,Berlin
2023-02-16,3.8,0.3,26503.13,Berlin
